keyword,title,link,price,unit,rating,reviews,model_number,brand,delivery_free,store_name,in_stock_quantity
Electrical Wire,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,146.0,,4.6818,1867,28828269,Southwire,True,Bangor,116
Electrical Wire,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,113.0,,4.6928,1592,28827469,Southwire,True,Bangor,212
Electrical Wire,50 ft. 14/2 Solid Romex Simpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-14-2-Solid-Romex-Simpull-CU-NM-B-W-G-Wire-28827422/202316377,47.0,,4.6964,1973,28827422,Southwire,True,Bangor,9
Electrical Wire,25 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-25-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828221/202316378,38.0,,4.6818,1867,28828221,Southwire,True,Bangor,6
Electrical Wire,15 ft. 14/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-15-ft-14-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28827426/202210510,21.0,,4.6964,1973,28827426,Southwire,True,Bangor,8
Electrical Wire,25 ft. 12/2 Gray Solid CerroMax Copper UF-B Cable with Ground Wire,https://www.homedepot.com/p/Cerrowire-25-ft-12-2-Gray-Solid-CerroMax-Copper-UF-B-Cable-with-Ground-Wire-138-1602AR/202206548,53.0,,4.5917,289,138-1602AR,Cerrowire,True,Bangor,1
Electrical Wire,100 ft. 14/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-14-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28827428/202316379,75.0,,4.745,2290,28827428,Southwire,True,Bangor,5
Electrical Wire,100 ft. 10/2 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-10-2-Gray-Solid-CU-UF-B-W-G-Wire-13056728/202316242,173.52,,4.7089,237,13056728,Southwire,True,Augusta,4
Electrical Wire,100 ft. 12/3 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-12-3-Gray-Solid-CU-UF-B-W-G-Wire-13058323/202316250,110.98,,4.5524,105,13058323,Southwire,True,Augusta,2
Electrical Wire,50 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828222/202316374,62.0,,4.6818,1867,28828222,Southwire,True,Bangor,18
Electrical Wire,24 ft. 16 Gauge Red Stranded Primary Wire,https://www.homedepot.com/p/Cerrowire-24-ft-16-Gauge-Red-Stranded-Primary-Wire-207-1203R24/202206417,6.63,,4.6357,258,207-1203R24,Cerrowire,False,Bangor,3
Electrical Wire,25 ft. 14/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-25-ft-14-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28827421/202316376,36.0,,4.6964,1973,28827421,Southwire,True,Bangor,15
Electrical Wire,250 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,https://www.homedepot.com/p/Southwire-250-ft-12-Gauge-2-Gauge-Solid-CU-MC-Metal-Clad-Armorlite-Cable-68580055/202316559,258.0,,4.6547,307,68580055,Southwire,True,Bangor,3
Electrical Wire,24 ft. 16 Gauge Black Stranded Primary Wire,https://www.homedepot.com/p/Cerrowire-24-ft-16-Gauge-Black-Stranded-Primary-Wire-207-1201R24/202206415,6.63,,4.6357,258,207-1201R24,Cerrowire,False,Bangor,3
Electrical Wire,50 ft. 14/2 Gray Solid CerroMax Copper UF-B Cable with Ground Wire,https://www.homedepot.com/p/Cerrowire-50-ft-14-2-Gray-Solid-CerroMax-Copper-UF-B-Cable-with-Ground-Wire-138-1402BR/202206546,58.0,,4.6096,292,138-1402BR,Cerrowire,True,Bangor,2
Electrical Wire,100 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828228/202316375,99.0,,4.6818,1867,28828228,Southwire,True,Bangor,10
Electrical Wire,1000 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-1000-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828201/202316226,456.0,,4.6818,1867,28828201,Southwire,True,Bangor,14
Electrical Wire,15 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-15-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828226/202210508,28.0,,4.6818,1867,28828226,Southwire,True,Bangor,0
Electrical Wire,100 ft. 14/2 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-14-2-Gray-Solid-CU-UF-B-W-G-Wire-13054226/202316582,93.0,,4.6848,387,13054226,Southwire,True,Bangor,2
Electrical Wire,100 ft. 10/3 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-10-3-Gray-Solid-CU-UF-B-W-G-Wire-13059123/202316273,163.33,,4.7097,155,13059123,Southwire,True,Augusta,4
Electrical Wire,250 ft. 12/2 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-2-Gray-Solid-CU-UF-B-W-G-Wire-13055955/202316281,197.0,,4.7199,307,13055955,Southwire,True,Bangor,7
Electrical Wire,125 ft. 6/3 Black Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-125-ft-6-3-Black-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63950002/202316279,496.0,,4.7075,506,63950002,Southwire,True,Bangor,5
Electrical Wire,250 ft. 10/2 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-10-2-Gray-Solid-CU-UF-B-W-G-Wire-13056755/202316282,318.0,,4.7089,237,13056755,Southwire,True,Bangor,3
Electrical Wire,250 ft. 12/3 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-3-Gray-Solid-CU-UF-B-W-G-Wire-13058355/202316479,254.0,,4.5524,105,13058355,Southwire,True,Bangor,0
Electrical Wire,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,113.0,,4.6928,1592,28827469,Southwire,True,Bangor,212
Electrical Wire,50 ft. 8/3 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-8-3-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63949232/204765155,207.0,,4.5791,316,63949232,Southwire,True,Bangor,4
Electrical Wire,50 ft. 14/2 Gray Solid CerroMax Copper UF-B Cable with Ground Wire,https://www.homedepot.com/p/Cerrowire-50-ft-14-2-Gray-Solid-CerroMax-Copper-UF-B-Cable-with-Ground-Wire-138-1402BR/202206546,58.0,,4.6096,292,138-1402BR,Cerrowire,True,Bangor,2
Electrical Wire,100 ft. 10/2 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-10-2-Gray-Solid-CU-UF-B-W-G-Wire-13056728/202316242,173.52,,4.7089,237,13056728,Southwire,True,Augusta,4
Electrical Wire,25 ft. 6/3 Gray Stranded CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-25-ft-6-3-Gray-Stranded-CU-UF-B-W-G-Wire-14782721/300916639,160.0,,4.6471,170,14782721,Southwire,True,,0
Electrical Wire,500 ft. 12 Gauge Black Stranded Copper THHN Wire,https://www.homedepot.com/p/Cerrowire-500-ft-12-Gauge-Black-Stranded-Copper-THHN-Wire-112-3651J/202304641,119.0,,4.628,414,112-3651J,Cerrowire,True,Bangor,1
Electrical Wire,"1,000 ft. 14/2 Solid Romex SIMpull CU NM-B W/G Wire",https://www.homedepot.com/p/Southwire-1-000-ft-14-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28827401/202316473,305.0,,4.6964,1973,28827401,Southwire,True,Bangor,4
Electrical Wire,125 ft. 6/2 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-125-ft-6-2-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-28894402/202316592,361.0,,4.6355,214,28894402,Southwire,True,Bangor,2
Electrical Wire,100 ft. 10/2 Orange Solid Romex Simpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-100-ft-10-2-Orange-Solid-Romex-Simpull-CU-NM-B-W-G-Wire-28829028/202316241,216.0,,4.6471,459,28829028,Southwire,True,Bangor,2
Electrical Wire,25 ft. 6/3 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-25-ft-6-3-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63950021/204839834,152.99,,4.7075,506,63950021,Southwire,True,Augusta,3
Electrical Wire,25 ft. 8/3 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-25-ft-8-3-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63949221/204839822,72.21,,4.5791,316,63949221,Southwire,True,Augusta,4
Electrical Wire,125 ft. 6/3 Black Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-125-ft-6-3-Black-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63950002/202316279,496.0,,4.7075,506,63950002,Southwire,True,Bangor,5
Electrical Wire,1000 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-1000-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828201/202316226,456.0,,4.6818,1867,28828201,Southwire,True,Bangor,14
Electrical Wire,125 ft. 8/2 Black Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-125-ft-8-2-Black-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-28893602/202316591,254.0,,4.6667,234,28893602,Southwire,True,Bangor,1
Electrical Wire,50 ft. 6/3 Black Stranded CerroMax SLiPWire Copper NM-B Wire,https://www.homedepot.com/p/Cerrowire-50-ft-6-3-Black-Stranded-CerroMax-SLiPWire-Copper-NM-B-Wire-147-4203B/202206572,242.0,,4.6345,238,147-4203B,Cerrowire,True,Bangor,4
Electrical Wire,500 ft. 12 Gauge White Stranded Copper THHN Wire,https://www.homedepot.com/p/Cerrowire-500-ft-12-Gauge-White-Stranded-Copper-THHN-Wire-112-3652J/202304642,119.0,,4.628,414,112-3652J,Cerrowire,True,Bangor,2
Electrical Wire,50 ft. 10/3 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-10-3-Gray-Solid-CU-UF-B-W-G-Wire-13059122/205339482,193.0,,4.6477,88,13059122,Southwire,True,Bangor,4
Electrical Wire,50 ft. 6/2 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-6-2-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-28894422/205357757,205.0,,4.6355,214,28894422,Southwire,True,Augusta,2
Electrical Wire,125 ft. 8/3 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-125-ft-8-3-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63949202/202316278,361.0,,4.5791,316,63949202,Southwire,True,Bangor,7
Electrical Wire,250 ft. 6/3 Gray Stranded CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-6-3-Gray-Stranded-CU-UF-B-W-G-Wire-14782703/202316607,1155.0,,4.6471,170,14782703,Southwire,True,Bangor,1
Electrical Wire,250 ft. 10/3 Gray Solid CU UF-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-10-3-Gray-Solid-CU-UF-B-W-G-Wire-13059155/202316283,396.0,,4.6477,88,13059155,Southwire,True,Bangor,3
Electrical Wire,250 ft. 12/2/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-2-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-55048455/202316262,330.0,,4.1875,32,55048455,Southwire,True,Bangor,2
Electrical Wire,250 ft. 10/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-10-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28829055/202316274,293.0,,4.6471,459,28829055,Southwire,True,Bangor,6
Electrical Wire,100 ft. 12/3 Black /White /Green Solid Copper THHN Wire,https://www.homedepot.com/p/Cerrowire-100-ft-12-3-Black-White-Green-Solid-Copper-THHN-Wire-112-161253C/205493343,113.0,,4.6574,108,112-161253C,Cerrowire,True,Augusta,1
Electrical Wire,100 ft. 12 Gauge Black Stranded Copper THHN Wire,https://www.homedepot.com/p/Cerrowire-100-ft-12-Gauge-Black-Stranded-Copper-THHN-Wire-112-3671CR/202720429,69.0,,4.628,414,112-3671CR,Cerrowire,True,Bangor,1
Electrical Wire,50 ft. 8/3 Stranded Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-50-ft-8-3-Stranded-Romex-SIMpull-CU-NM-B-W-G-Wire-63949232/204765155,207.0,,4.5791,316,63949232,Southwire,True,Bangor,4
Electrical Wire,25 ft. 12-Gauge White Stranded CU THHN Wire,https://www.homedepot.com/p/Cerrowire-25-ft-12-Gauge-White-Stranded-CU-THHN-Wire-112-3602A/202564784,20.2,,4.628,414,112-3602A,Cerrowire,False,Augusta,1
